year,GDP Growth (%),Inflation (%),Unemployment Rate (%),Trade (% of GDP),Government Debt (% of GDP),country
2014,0.997832947295251,0.507758822937989,10.273,62.1992669379507,,France
2013,0.781756446231,0.863715497861804,9.913,61.8192338733962,,France
2012,0.183835264973013,1.95419531613509,9.841,61.6589570771102,,France
2011,2.43757653729007,2.11159795175,9.228,60.6056354816406,,France
2010,2.00032476039051,1.53112270420918,9.279,56.587555247796,,France
2009,-2.82455153714783,0.0876204781574653,9.122,52.1991123027613,,France
2008,0.380171435849121,2.81286194914785,7.386,59.1797928411748,,France
2007,2.53048188351066,1.48799805953859,8.008,58.1525611309659,,France
2006,2.71406448755236,1.67512449608726,8.832,57.8692775292673,,France
2005,1.88856584109286,1.74586936380487,8.882,55.8228361241299,,France
2004,2.86825052501032,2.14208964640238,8.914,53.7497648292028,,France
2003,0.967827182558352,2.09847219146919,8.306,52.5988822870657,,France
2002,1.06775027069419,1.92341228727063,8.702,55.1325248503102,,France
2001,1.89946701186636,1.63478079549599,8.61,56.8932328560722,,France
2000,4.14099996402915,1.67595988720928,10.218,57.7860470318197,,France
2024,0.692676948440536,0.982373023061417,6.5,62.8237685119526,,Italy
2023,0.975694840127005,5.62219442195901,7.627,65.1071778763174,,Italy
2022,4.82117669913565,8.20128991161718,8.069,72.0165023032697,,Italy
2021,8.93106210800055,1.87378325762481,9.497,60.3019776202798,,Italy
2020,-8.86822122185345,-0.13770757391651,9.192,53.9394839042764,,Italy
2019,0.429162533780342,0.611246943765304,9.884,58.6941902594738,,Italy
2018,0.826646712344115,1.13748763600391,10.538,59.2749835128154,,Italy
2017,1.60369995294101,1.22653316645812,11.211,57.5829940274911,,Italy
2016,1.23622108511661,-0.09401665691575,11.688,54.4321467018313,,Italy
2015,0.885667635240807,0.0387903996579733,11.896,55.4356858148221,,Italy
2014,-0.00138761730454462,0.241047429826756,12.683,54.4545299332032,,Italy
2013,-1.81802510749792,1.21999342274306,12.149,54.0341846317499,,Italy
2012,-3.12523877282996,3.04136333226775,10.655,54.8844952702204,,Italy
2011,0.695463154440176,2.78063272879323,8.359,54.4722149449288,,Italy
2010,1.52910573247101,1.52551602118248,8.363,51.6621118138339,,Italy
2009,-5.30515401233991,0.774768131387381,7.749,45.1414765721604,,Italy
2008,-1.02313851177097,3.34783258401022,6.723,54.2142548956671,,Italy
2007,1.46229205289291,1.82974112202403,6.076,54.8280415572531,,Italy
2006,1.79947992234244,2.09084391012754,6.777,52.9235429597012,,Italy
2005,0.762410677306491,1.9852929852798,7.73,49.1221742288618,,Italy
2004,1.4740217064723,2.20673661423657,7.866,47.2663923891771,,Italy
2003,0.0665538088732092,2.6725555277285,8.869,45.9940859777074,,Italy
2002,0.26992966378873,2.46532319171165,9.211,47.8713186791542,,Italy
2001,2.00643329837733,2.78516542713554,9.599,49.8632723203495,,Italy
2000,3.88209885062652,2.53768532095002,10.834,50.2747311455639,,Italy
2024,1.55479521049516,2.38158383281173,6.351,65.1499212653783,64.8871578917218,Canada
2023,1.52874550838358,3.87900159788425,5.415,66.6323313370668,61.1023208728582,Canada
2022,4.18903628100851,6.80280115341612,5.279,67.3176215563989,59.704132672031,Canada
2021,5.95052802804381,3.39519318527527,7.527,62.2468367159421,68.7795713723483,Canada
2020,-5.03823343468899,0.716999632307827,9.657,61.1567709632763,74.5544073791525,Canada
2019,1.90843194590616,1.94926902411592,5.69,66.1714852804959,53.3623246913959,Canada
2018,2.74296344906655,2.26822567248103,5.837,66.5998858508762,53.1515356456582,Canada
2017,3.03383491200222,1.59688412852976,6.426,65.1010608504649,54.4625651849142,Canada
2016,1.03855092490855,1.42875954701085,7.038,65.3636845215556,56.0236243991088,Canada
2015,0.649971001734855,1.12524136094277,6.945,66.1649020669781,55.9915837788793,Canada
2014,2.87346677785811,1.90663590717861,7.023,64.3786621564923,51.4827081297932,Canada
2013,2.32581354806429,0.938291897815316,7.143,62.2310749013405,53.200869076551,Canada
2012,1.75566129145483,1.51567823124516,7.392,62.5955489395005,55.7251649377054,Canada
2011,3.13719442170364,2.91213508872351,7.637,62.4987387708328,54.1193858391726,Canada
2010,3.09080634469335,1.77687154092627,8.178,60.2081215044483,53.1497329605545,Canada
2009,-2.91508621550267,0.299466803009299,8.46,58.4743918224897,53.1924466726998,Canada
2008,0.995406301140747,2.37027067444298,6.284,67.0236083618983,45.3205112731135,Canada
2007,2.04990463726786,2.13838399266837,6.156,66.2834197482347,39.1585639491399,Canada
2006,2.63794375007348,2.00202539534161,6.484,68.0521644769988,43.2916781929928,Canada
2005,3.21045439063563,2.21355203439767,6.758,69.7591330167357,46.0616514241618,Canada
2004,3.09236384292251,1.85725871857256,7.185,70.1924199909562,46.8009858324025,Canada
2003,1.80638512302554,2.75856321360112,7.574,69.8400946170607,51.2713370557453,Canada
2002,2.99925535017809,2.25839440940855,7.665,75.7070320779233,54.1491194927984,Canada
2001,1.87509810696022,2.52512013979905,7.219,78.3442183943698,57.4583564504362,Canada
2000,5.1385391803606,2.71943995691976,6.829,82.7653578503214,58.7379742383571,Canada
